facultad,total_tesis
FACULTAD DE AGRONOMÍA,631
FACULTAD DE CIENCIAS,477
FACULTAD DE CIENCIAS FORESTALES,389
FACULTAD DE ECONOMÍA Y PLANIFICACIÓN,432
FACULTAD DE INDUSTRIAS ALIMENTARIAS,270
FACULTAD DE INGENIERÍA AGRÍCOLA,399
FACULTAD DE PESQUERÍA,140
FACULTAD DE ZOOTECNIA,280
