facultad,total_tesis
Facultad Ciencias de la Salud (Lic.),688
Facultad de Ciencias Ambientales (Lic.),199
Facultad de Ciencias Empresariales (Lic.),415
Facultad de Ciencias Humanas (Lic.),34
Facultad de Ciencias Veterinarias y Biológicas (Lic.),266
