facultad,total_tesis
FACULTAD DE CIENCIAS AGRARIAS,706
FACULTAD DE CIENCIAS BIOLÓGICAS,401
FACULTAD DE CIENCIAS DE LA EDUCACIÓN,186
FACULTAD DE CIENCIAS DE LA SALUD,1086
"FACULTAD DE CIENCIAS ECONÓMICAS, ADMINISTRATIVAS Y CONTABLES",332
FACULTAD DE CIENCIAS SOCIALES,304
FACULTAD DE DERECHO Y CIENCIAS POLÍTICAS,59
"FACULTAD DE INGENIERÍA DE MINAS, GEOLOGÍA Y CIVIL",533
FACULTAD DE INGENIERÍA QUÍMICA Y METALURGIA,194
